ObservationDate,Confirmed,Confirmed_Perc_Chg,Country
01/22/2020,,nan%,Global
01/23/2020,0.17657657657657655,17.66%,Global
01/24/2020,0.44104134762633995,44.10%,Global
01/25/2020,0.5281615302869287,52.82%,Global
01/26/2020,0.4728789986091795,47.29%,Global
01/27/2020,0.38196411709159594,38.20%,Global
01/28/2020,0.9057055005124701,90.57%,Global
01/29/2020,0.1052348512011474,10.52%,Global
01/30/2020,0.33576642335766427,33.58%,Global
01/31/2020,0.20522161505768066,20.52%,Global
02/01/2020,0.21289672544080607,21.29%,Global
02/02/2020,0.3945007476324971,39.45%,Global
02/03/2020,0.18430928694823367,18.43%,Global
02/04/2020,0.20175041496906587,20.18%,Global
02/05/2020,0.15670517327975886,15.67%,Global
02/06/2020,0.11513967289043281,11.51%,Global
02/07/2020,0.11597118567071196,11.60%,Global
02/08/2020,0.07934984880204698,7.93%,Global
02/09/2020,0.08162495622423971,8.16%,Global
02/10/2020,0.06505441956613778,6.51%,Global
02/11/2020,0.047704791525384094,4.77%,Global
02/12/2020,0.00935205231792513,0.94%,Global
02/13/2020,0.33496970501083534,33.50%,Global
02/14/2020,0.10795096902434986,10.80%,Global
02/15/2020,0.03206901191561884,3.21%,Global
02/16/2020,0.031782361803221804,3.18%,Global
02/17/2020,0.028556987616881413,2.86%,Global
02/18/2020,0.025634725634725575,2.56%,Global
02/19/2020,0.006694349064388261,0.67%,Global
02/20/2020,0.007376951653203845,0.74%,Global
02/21/2020,0.00845155448234225,0.85%,Global
02/22/2020,0.02285178871204918,2.29%,Global
02/23/2020,0.004911003956793447,0.49%,Global
02/24/2020,0.007406469582832198,0.74%,Global
02/25/2020,0.01061958024381049,1.06%,Global
02/26/2020,0.012211652054964883,1.22%,Global
02/27/2020,0.01669594702507471,1.67%,Global
02/28/2020,0.016530523466576463,1.65%,Global
02/29/2020,0.02245494745851362,2.25%,Global
03/01/2020,0.027414460604792357,2.74%,Global
03/02/2020,0.021930271242828425,2.19%,Global
03/03/2020,0.02807029199747535,2.81%,Global
03/04/2020,0.024557321959415734,2.46%,Global
03/05/2020,0.029035784870274695,2.90%,Global
03/06/2020,0.03998528900966436,4.00%,Global
03/07/2020,0.039646365422396856,3.96%,Global
03/08/2020,0.03778487471181835,3.78%,Global
03/09/2020,0.034114808576501066,3.41%,Global
03/10/2020,0.044021059674948404,4.40%,Global
03/11/2020,0.06141741579666382,6.14%,Global
03/12/2020,0.01968776069598377,1.97%,Global
03/13/2020,0.13128881201156273,13.13%,Global
03/14/2020,0.07511381402684703,7.51%,Global
03/15/2020,0.07269745482033829,7.27%,Global
03/16/2020,0.08419977664574452,8.42%,Global
03/17/2020,0.08604981657541333,8.60%,Global
03/18/2020,0.0900095350158241,9.00%,Global
03/19/2020,0.1293441593188005,12.93%,Global
03/20/2020,0.12135320316587905,12.14%,Global
03/21/2020,0.11897842133689984,11.90%,Global
03/22/2020,0.1069548742566877,10.70%,Global
03/23/2020,0.12209526521556002,12.21%,Global
03/24/2020,0.10489236894071374,10.49%,Global
03/25/2020,0.1187476373450218,11.87%,Global
03/26/2020,0.1325872444898779,13.26%,Global
03/27/2020,0.1202815002520814,12.03%,Global
03/28/2020,0.11360698207119269,11.36%,Global
03/29/2020,0.089976736547837,9.00%,Global
03/30/2020,0.08644013664009775,8.64%,Global
03/31/2020,0.09598550081864654,9.60%,Global
04/01/2020,0.08760249426521916,8.76%,Global
04/02/2020,0.08652966690077801,8.65%,Global
04/03/2020,0.08152941420285931,8.15%,Global
04/04/2020,0.09260829059134945,9.26%,Global
04/05/2020,0.06239059702290284,6.24%,Global
04/06/2020,0.05737374372599957,5.74%,Global
04/07/2020,0.060214809148160686,6.02%,Global
04/08/2020,0.05960889028508598,5.96%,Global
04/09/2020,0.05575129177078475,5.58%,Global
04/10/2020,0.06040618046196755,6.04%,Global
04/11/2020,0.04716799894072232,4.72%,Global
04/12/2020,0.04243037311587705,4.24%,Global
04/13/2020,0.03825243139038714,3.83%,Global
04/14/2020,0.03070535956439202,3.07%,Global
04/15/2020,0.040412571248137796,4.04%,Global
04/16/2020,0.04697928800542783,4.70%,Global
01/22/2020,,nan%,US
01/23/2020,0.0,0.00%,US
01/24/2020,1.0,100.00%,US
01/25/2020,0.0,0.00%,US
01/26/2020,1.5,150.00%,US
01/27/2020,0.0,0.00%,US
01/28/2020,0.0,0.00%,US
01/29/2020,0.0,0.00%,US
01/30/2020,0.0,0.00%,US
01/31/2020,0.19999999999999996,20.00%,US
02/01/2020,0.33333333333333326,33.33%,US
02/02/2020,0.0,0.00%,US
02/03/2020,0.375,37.50%,US
02/04/2020,0.0,0.00%,US
02/05/2020,0.09090909090909083,9.09%,US
02/06/2020,0.0,0.00%,US
02/07/2020,0.0,0.00%,US
02/08/2020,0.0,0.00%,US
02/09/2020,0.0,0.00%,US
02/10/2020,0.0,0.00%,US
02/11/2020,0.08333333333333326,8.33%,US
02/12/2020,0.0,0.00%,US
02/13/2020,0.15384615384615374,15.38%,US
02/14/2020,0.0,0.00%,US
